time    pid   status    niceness    cputime    proctime      Group List
  0      1      1          211          0.00       11.50        Ready List
  0      2      1          0          0.00       45.75        Ready List
  0      3      1          9          0.00       55.00        Ready List
  0      0      2          1          1.00       69.00        Running List
  1      2      1          0          0.00       45.75        Ready List
  1      3      1          9          0.00       55.00        Ready List
  1      0      2          1          1.00       69.00        Ready List
  1      1      2          211          1.00       11.50        Running List
  2      3      1          9          0.00       55.00        Ready List
  2      0      2          1          1.00       69.00        Ready List
  2      1      2          211          1.00       11.50        Ready List
  2      2      2          0          1.00       45.75        Running List
  3      0      2          1          1.00       69.00        Ready List
  3      1      2          211          1.00       11.50        Ready List
  3      2      2          0          1.00       45.75        Ready List
  3      3      2          9          1.00       55.00        Running List
  4      1      2          211          1.00       11.50        Ready List
  4      2      2          0          1.00       45.75        Ready List
  4      3      2          9          1.00       55.00        Ready List
  4      0      2          1          2.00       69.00        Running List
  5      2      2          0          1.00       45.75        Ready List
  5      3      2          9          1.00       55.00        Ready List
  5      0      2          1          2.00       69.00        Ready List
  5      1      2          211          2.00       11.50        Running List
  6      3      2          9          1.00       55.00        Ready List
  6      0      2          1          2.00       69.00        Ready List
  6      1      2          211          2.00       11.50        Ready List
  6      2      2          0          2.00       45.75        Running List
  7      0      2          1          2.00       69.00        Ready List
  7      1      2          211          2.00       11.50        Ready List
  7      2      2          0          2.00       45.75        Ready List
  7      3      2          9          2.00       55.00        Running List
  8      1      2          211          2.00       11.50        Ready List
  8      2      2          0          2.00       45.75        Ready List
  8      3      2          9          2.00       55.00        Ready List
  8      0      2          1          3.00       69.00        Running List
  9      2      2          0          2.00       45.75        Ready List
  9      3      2          9          2.00       55.00        Ready List
  9      0      2          1          3.00       69.00        Ready List
  9      1      2          211          3.00       11.50        Running List
  10      3      2          9          2.00       55.00        Ready List
  10      0      2          1          3.00       69.00        Ready List
  10      1      2          211          3.00       11.50        Ready List
  10      2      2          0          3.00       45.75        Running List
  11      0      2          1          3.00       69.00        Ready List
  11      1      2          211          3.00       11.50        Ready List
